,user_id,rec
0,1,"[1082185, 1138467, 1029743, 8293343, 856942]"
1,6,"[1102949, 8357613, 1082185, 1008032, 5570882]"
2,7,"[1082185, 1029743, 5592610, 5572738, 1068719]"
3,8,"[1082185, 837304, 1029743, 1068719, 878285]"
4,9,"[1029743, 1082185, 13381584, 1040346, 1056005]"
5,13,"[902396, 1138467, 1082185, 1132771, 1042438]"
6,14,"[1135552, 5582712, 1029743, 1127758, 1106523]"
7,15,"[1082185, 1014509, 845208, 976199, 1029743]"
8,16,"[933835, 1082185, 1070820, 6034857, 1044078]"
9,17,"[1082185, 1118046, 978906, 6533362, 916122]"
10,18,"[1068719, 1048257, 951412, 1008032, 1072968]"
11,19,"[1029743, 1082185, 865456, 8090537, 1042438]"
12,20,"[1082185, 1002850, 1123106, 1029743, 944836]"
13,22,"[1082185, 1018339, 1005274, 5570048, 991874]"
14,23,"[837644, 965530, 1034176, 1082185, 1079987]"
15,24,"[1008814, 1028995, 870547, 1094308, 983584]"
16,25,"[1002850, 1082185, 1029743, 866211, 5568378]"
17,26,"[9296919, 979707, 1082185, 896862, 1106523]"
18,27,"[944486, 1102416, 887503, 1082185, 910473]"
19,28,"[951412, 1027068, 854900, 6534030, 1055155]"
20,29,"[886395, 899624, 872137, 1029743, 1106523]"
21,30,"[6534480, 1029743, 1082185, 1106523, 979707]"
22,31,"[1082185, 864279, 1062128, 1001412, 943362]"
23,32,"[1003649, 1029743, 1082185, 1106523, 1126899]"
24,33,"[5590613, 5572738, 1082185, 1029743, 871756]"
25,34,"[1106523, 1126899, 1044078, 1029743, 986912]"
26,35,"[6464165, 1082185, 1029743, 1106523, 1004906]"
27,36,"[851287, 970747, 1029743, 8273833, 1082185]"
28,37,"[916990, 1097001, 1067695, 1044078, 1029743]"
29,39,"[1082185, 925862, 923789, 1127716, 1029743]"
30,40,"[1088414, 871680, 951412, 1098284, 955431]"
31,41,"[5585510, 1082185, 5567502, 1029743, 1106523]"
32,42,"[1082185, 1060673, 1031087, 1022254, 839656]"
33,43,"[1082185, 1126899, 1029743, 1070820, 1044078]"
34,46,"[1082185, 1029743, 856942, 1005274, 1098844]"
35,47,"[883932, 1082185, 1106523, 1029743, 899624]"
36,49,"[1082185, 1029743, 871061, 1070820, 10150194]"
37,52,"[1082185, 979707, 1068719, 1004906, 1058404]"
38,53,"[1082185, 904236, 1106523, 939546, 1029743]"
39,55,"[1082185, 1098844, 933835, 1029743, 1106523]"
40,56,"[1082185, 976199, 839243, 8090537, 1004906]"
41,57,"[7139529, 1082185, 1051516, 986912, 1106523]"
42,58,"[1082185, 1005274, 1057102, 1029743, 915493]"
43,59,"[856942, 1082185, 1029743, 1106523, 986912]"
44,63,"[1029743, 1082185, 1106523, 1021116, 1126899]"
45,64,"[1093413, 949023, 1025581, 1106523, 1131344]"
46,65,"[7155863, 1082185, 1011457, 1106523, 1070820]"
47,67,"[1082185, 1029743, 899624, 1106523, 9884698]"
48,68,"[1101010, 1082185, 1106523, 1029743, 856252]"
49,69,"[1082185, 1054262, 1027068, 1099089, 1055504]"
50,70,"[1029743, 1126899, 986912, 1070820, 1106523]"
51,71,"[1082185, 1029743, 986912, 1106523, 1070820]"
52,72,"[978906, 1082185, 902396, 839243, 979707]"
53,74,"[1082185, 899459, 1106523, 845208, 5591170]"
54,75,"[1126899, 1106523, 1029743, 986912, 933835]"
